nTubes,tubeH,nColors,seed,dfsnMoves,dfsmemb,dfstns,bfsnMoves,bfsmemb,bfstns,iterativedeepeningnMoves,iterativedeepeningmemb,iterativedeepeningtns,dfsgreedyadmissiblenMoves,dfsgreedyadmissiblememb,dfsgreedyadmissibletns,greedyadmissiblenMoves,greedyadmissiblememb,greedyadmissibletns,astaradmissiblenMoves,astaradmissiblememb,astaradmissibletns,astarnonadmissiblenMoves,astarnonadmissiblememb,astarnonadmissibletns
2,4,1,0,1,0.132,1.11335,1,0.132,0.010675,1,0.132,1.23438,1,0.132,0.891897,1,0.132,1.99878,1,0.132,1.91869,1,0.132,1.85171
3,4,1,0,0.166667,0.132,0.659621,1,0.132,0.043575,1,0.132,0.68654,1,0.132,0.28179,1,0.132,0.953597,1,0.132,0.919289,1,0.132,0.991279
4,4,2,0,0.0967742,0.528,0.286039,1,0.66,1.31587,1,0.132,5.94629,1,0.132,0.0407739,1,0.264,0.20949,6,0.528,0.490464,1,0.396,0.214738
5,4,3,0,0.0504587,1.716,0.0978674,1,6.204,13.8263,1,0.264,349.466,0.916667,0.264,0.00930008,0.916667,0.528,0.0489656,11,1.848,0.253867,1,0.792,0.0595169
6,4,3,0,0.005,15.56,0.0973965,1,48.576,172.583,-,-,-,1,0.264,0.000995335,1,1.056,0.00731202,9,1.452,0.0131021,1,1.056,0.00736343
7,4,4,0,0.00614574,22.648,0.00531913,1,1068.11,4928.03,-,-,-,1,0.264,5.95544e-05,1,2.112,0.000497001,14,2.908,0.000857382,1,1.984,0.000500263
8,4,4,0,0.000319572,390.816,0.0217096,1,5416.77,29839.8,-,-,-,1,0.264,1.32806e-05,1,2.376,9.34077e-05,11,30.272,0.00215083,1,3.296,0.000114485
