alg,nTubes,tubeH,nColors,nMovesMin,nMovesMean,nMovesMax,memMBMin,memMBMean,memMBMax,tmsMin,tmsMean,tmsMax
bfs,2,4,1,1,1,1,0.132,0.132,0.132,0.007499,0.00980356,0.013689
bfs,3,4,1,1,1,1,0.132,0.132,0.132,0.021238,0.0379016,0.059449
bfs,4,4,2,1,1,1,0.396,0.523361,0.66,0.361466,0.636698,1.10208
bfs,5,4,2,1,1,1,1.188,2.46194,3.564,2.15775,5.73974,9.88301
bfs,6,4,3,1,1,1,16.104,39.9198,70.096,46.9052,149.347,280.385
bfs,7,4,3,1,1,1,209.88,307.705,510.908,927.416,1466.3,2824.98
bfs,8,4,4,1,1,1,2048.44,3645.41,6222.88,9142.58,20012.1,51756.4
