alg,nTubes,tubeH,nColors,memMBMean,tmsMean
bfs,6,4,1,0.924,1.44752
bfs,6,4,2,11.891,48.9406
bfs,6,4,3,41.592,140.594
bfs,6,4,4,6.22403,11.1848
bfs,6,4,5,0.833759,1.08267
