alg,nTubes,tubeH,nColors,memMBMean,tmsMean
bfs,5,4,1,0.528,0.82686
bfs,5,4,2,2.85932,7.01985
bfs,5,4,3,4.23971,9.52192
bfs,5,4,4,0.396,0.41204
