alg,nTubes,tubeH,nColors,memMBMean,tmsMean
bfs,4,1,2,0.132,0.0132125
bfs,4,2,2,0.264,0.139211
bfs,4,3,2,0.302205,0.168399
bfs,4,4,2,0.61269,0.902472
bfs,4,5,2,0.691876,1.21188
bfs,4,6,2,1.30577,2.96854
