alg,nTubes,tubeH,nColors,memMBMean,tmsMean
dfs-greedy-admissible,2,1,1,0.132,0.00109946
dfs-greedy-admissible,2,2,1,0.132,0.00343954
dfs-greedy-admissible,2,3,1,0.132,0.00143296
dfs-greedy-admissible,2,4,1,0.132,0.00440821
dfs-greedy-admissible,2,5,1,0.132,0.00703242
