alg,nTubes,tubeH,nColors,memMBMean,tmsMean
greedy-admissible,6,1,3,0.132,0.0201701
greedy-admissible,6,2,3,0.396,0.287132
greedy-admissible,6,3,3,0.556666,0.440113
greedy-admissible,6,4,3,1.056,1.09255
greedy-admissible,6,5,3,0.771941,1.07328
greedy-admissible,6,6,3,1.16752,1.52948
