alg,nTubes,tubeH,nColors,memMBMean,tmsMean
bfs,3,1,2,0.132,0.00339301
bfs,3,2,2,0.132,0.00875456
bfs,3,3,2,0.132,0.0160931
bfs,3,4,2,0.132,0.044807
bfs,3,5,2,0.132,0.0544443
