alg,nTubes,tubeH,nColors,memMBMean,tmsMean
bfs,2,1,1,0.132,0.00304712
bfs,2,2,1,0.132,0.00645033
bfs,2,3,1,0.132,0.00371154
bfs,2,4,1,0.132,0.00780434
bfs,2,5,1,0.132,0.0116262
