alg,nTubes,tubeH,nColors,memMBMean,tmsMean
greedy-admissible,5,1,3,0.132,0.0165075
greedy-admissible,5,2,3,0.264,0.161068
greedy-admissible,5,3,3,0.396,0.367079
greedy-admissible,5,4,3,0.47972,0.550746
greedy-admissible,5,5,3,0.528,0.705905
greedy-admissible,5,6,3,0.825967,0.888974
