alg,nTubes,tubeH,nColors,memMBMean,tmsMean
astar-nonadmissible,6,1,3,0.132,0.013422
astar-nonadmissible,6,2,3,0.47972,0.25469
astar-nonadmissible,6,3,3,0.628611,0.420882
astar-nonadmissible,6,4,3,1.056,1.10267
astar-nonadmissible,6,5,3,1.07425,1.1405
