alg,nTubes,tubeH,nColors,memMBMean,tmsMean
astar-nonadmissible,5,1,3,0.132,0.0158794
astar-nonadmissible,5,2,3,0.345938,0.206455
astar-nonadmissible,5,3,3,0.528,0.404985
astar-nonadmissible,5,4,3,0.691876,0.653997
astar-nonadmissible,5,5,3,0.745301,1.02998
astar-nonadmissible,5,6,3,1.7673,3.07779
